0,0.00
180,0.00
360,0.00
540,0.00
720,0.00
900,0.00
1080,0.00
1260,0.00
1440,0.10
1620,0.10
1800,0.17
1980,5.90
2160,72.07
2340,49.34
2520,39.16
2700,34.66
2880,31.83
3060,29.16
3240,27.85
3420,33.27
3600,33.36
3780,51.44
3960,125.86
4140,362.22
4320,686.66
4500,1088.09
4680,1592.31
4860,2918.14
5040,4974.32
5220,11736.33
5400,13393.81
5580,10289.69
5760,6720.13
5940,7620.32
6120,27632.27
6300,41293.42
6480,53134.83
6660,59003.51
6840,53133.60
7020,38446.68
7200,30918.90
7380,24391.76
7560,33973.62
7740,32422.16
7920,25475.17
8100,20217.01
8280,20029.14
8460,23154.27
8640,29670.61
8820,33179.46
9000,32800.26
9180,28214.37
9360,22618.61
9540,19190.60
9720,15044.31
9900,12058.27
10080,9766.36
10260,6678.09
10440,6217.12
10620,4438.21
10800,4172.21
10980,3234.19
11160,2459.78
11340,2732.81
11520,2526.12
11700,1995.92
11880,1570.41
12060,1022.15
12240,1927.04
12420,1145.41
12600,1069.53
12780,962.02
12960,914.68
13140,780.21
13320,678.23
13500,673.69
13680,644.72
13860,621.77
14040,831.71
14220,489.75
14400,442.32
